id,page_type,rendering_pattern,app_router_pattern,server_components,client_components,data_fetching,caching_strategy,performance_tips,common_mistakes
NX001,"Landing Page","SSG with ISR","page.tsx (Server)","Layout, SEO metadata","Interactive components only","generateStaticParams + fetch","revalidate: 3600 (1 hour)","Preload critical assets, use next/image","Using 'use client' unnecessarily"
NX002,"Blog Post","SSG","page.tsx (Server)","Content rendering","None for static","generateStaticParams","revalidate: false (static)","Use MDX, optimize images","Not using generateStaticParams"
NX003,"Product List","ISR","page.tsx (Server)","Product cards","Add to cart button","fetch with revalidate","revalidate: 60 (1 min)","Paginate, virtualize long lists","Fetching all products at once"
NX004,"Product Detail","SSR","page.tsx (Server)","Product info, SEO","Gallery, add to cart","fetch cache: 'no-store'","Use cache headers","Preload images, use suspense","Not handling out of stock"
NX005,"Shopping Cart","CSR","page.tsx (Client)","None","All cart components","useQuery / client fetch","TanStack Query cache","Optimistic updates, debounce","Server-side cart rendering"
NX006,"Checkout","CSR","page.tsx (Client)","None","All checkout components","Client-side POST","No cache, secure","Use secure session, validate","Server rendering sensitive data"
NX007,"Dashboard","CSR","page.tsx (Client)","None","All dashboard components","useQuery polling","TanStack Query cache","WebSocket for real-time","Server-side data fetching"
NX008,"User Profile","CSR","page.tsx (Client)","None","All profile components","useQuery","TanStack Query cache","Debounce saves, optimistic","Not using optimistic updates"
NX009,"Admin Panel","CSR","page.tsx (Client)","None","All admin components","useQuery + mutations","TanStack Query cache","Role-based access","Server components for admin"
NX010,"Search Results","SSR + ISR","page.tsx (Server)","Results list","Filter components","fetch with dynamic cache","Cache popular queries","Debounce input, paginate","Not caching popular queries"
NX011,"Auth Pages","SSG + SSR","page.tsx (Server)","Form structure","Form components","Server actions","No cache for security","CSRF protection, validation","Client-side auth only"
NX012,"API Routes","Edge/Node","route.ts (Server)","N/A","N/A","Direct DB/API","Cache headers","Use Edge for speed, Node for heavy","Not using proper HTTP methods"
NX013,"Error Pages","SSG","error.tsx (Client)","None","Error UI","None","No cache","Use error boundaries","Not handling all error types"
NX014,"Loading States","SSG","loading.tsx (Server)","Skeleton","None","None","N/A","Use suspense boundaries","Not using loading.tsx"
NX015,"Not Found","SSG","not-found.tsx (Server)","404 UI","None","None","CDN cache","Custom 404 page","Not creating custom 404"
NX016,"Layouts","SSG","layout.tsx (Server)","Shared UI","Nav, sidebar","None","Static cache","Use for shared UI","Using client layouts unnecessarily"
NX017,"Parallel Routes","Hybrid","@folder/page.tsx","Independent sections","Interactive parts","Independent fetch","Per-route cache","Load in parallel","Sequential loading"
NX018,"Intercepting Routes","CSR","(..)folder/page.tsx","Modal content","Modal UI","Client fetch","No cache","Use for modals, drawers","Not handling direct URL access"
NX019,"Server Actions","Server","actions.ts","Server function","N/A","Direct DB mutation","revalidatePath/Tag","Use for mutations","Calling from client without form"
NX020,"Middleware","Edge","middleware.ts","Request handling","N/A","N/A","N/A","Use for auth, redirects","Heavy computation in middleware"
NX021,"Streaming","SSR","page.tsx + Suspense","Progressive load","Interactive parts","fetch with suspense","Per-component cache","Stream slow content","Not using suspense boundaries"
NX022,"OG Images","SSG","opengraph-image.tsx","Social preview","N/A","N/A","Static generation","Use ImageResponse API","Not generating OG images"
NX023,"Sitemaps","SSG","sitemap.ts","SEO sitemap","N/A","DB query","revalidate: 3600","Dynamic sitemaps","Not generating sitemaps"
NX024,"Robots.txt","SSG","robots.ts","SEO robots","N/A","N/A","Static","Allow important routes","Not configuring robots.txt"
NX025,"Font Optimization","SSG","layout.tsx","Font loading","N/A","N/A","next/font auto","Use next/font, preload","Using external font links"
