id,category,anti_pattern,problem,correct_pattern,severity,impact,detection_method,fix_strategy
AP001,"Rendering","CSR for entire SEO-critical site","Poor SEO, slow initial load, high client resource usage","Use SSG/SSR/ISR for SEO pages, CSR for private pages","critical","SEO failure, poor performance","Lighthouse SEO score, no meta tags in HTML","Restructure to hybrid rendering"
AP002,"Rendering","SSR for static content","Wasted server resources, slower than SSG","Use SSG for static content, ISR for periodic updates","medium","Server cost, slower response","Server load analysis, cache headers","Convert to SSG with ISR"
AP003,"Rendering","SSG for real-time data","Stale data, poor UX for live updates","Use CSR with WebSocket or SSR with streaming","high","Data staleness, poor UX","User complaints, data freshness check","Implement real-time architecture"
AP004,"Rendering","No ISR for frequently updated content","Content outdated, manual rebuilds needed","Use ISR with appropriate revalidation time","medium","Outdated content, operational overhead","Content freshness audit","Add ISR with revalidation"
AP005,"State","Redux for all state","Over-engineering, boilerplate, performance issues","Use Zustand for UI state, TanStack Query for server","medium","Bundle size, complexity","Bundle analysis, state audit","Migrate to appropriate tools"
AP006,"State","useState for server data","No caching, duplicate requests, race conditions","Use TanStack Query or SWR for server state","high","Network waste, bugs","Network tab analysis, duplicate requests","Implement server state management"
AP007,"State","No cache strategy for API calls","Duplicate requests, slow UX, wasted bandwidth","Implement TanStack Query with proper caching","high","Performance, UX issues","Network waterfall analysis","Add caching layer"
AP008,"State","Business logic in UI components","Hard to test, hard to reuse, tight coupling","Move to hooks, services, or domain layer","medium","Maintainability, testability","Code review, component analysis","Extract to custom hooks"
AP009,"State","Prop drilling for global state","Unnecessary re-renders, hard to maintain","Use context or state management library","low","Maintainability, re-renders","Component tree analysis","Lift state or use context"
AP010,"State","Storing API tokens in Redux/localStorage","Security vulnerability, XSS risk","Use httpOnly cookies, secure token storage","critical","Security breach","Security audit, storage inspection","Move to secure cookies"
AP011,"Performance","No code splitting","Large bundle, slow initial load","Implement route-based code splitting","high","Slow load, poor UX","Bundle size analysis","Add dynamic imports"
AP012,"Performance","No lazy loading for images","Wasted bandwidth, slow LCP","Use next/image or lazy loading attribute","high","Poor LCP, bandwidth waste","Lighthouse LCP audit","Implement lazy loading"
AP013,"Performance","Blocking main thread","Poor INP, janky UI","Use web workers, break up long tasks","high","Poor interactivity","Chrome DevTools performance","Offload to workers"
AP014,"Performance","No virtualization for long lists","DOM bloat, poor scroll performance","Use react-window or virtualization library","medium","Scroll jank, memory","Performance profiling","Add virtualization"
AP015,"Performance","Unoptimized images","Large file sizes, slow LCP","Use WebP/AVIF, proper sizing, CDN","high","Slow LCP, bandwidth","Lighthouse image audit","Optimize and modernize"
AP016,"Performance","No font optimization","Flash of unstyled text, slow LCP","Use font-display: swap, preload, subset","medium","Layout shift, slow load","Lighthouse font audit","Optimize font loading"
AP017,"Performance","Large bundle without analysis","Hidden bloat, unused code","Regular bundle analysis, tree shaking","medium","Bundle size, load time","webpack-bundle-analyzer","Analyze and trim"
AP018,"Caching","No CDN for static assets","Slow global load times, server load","Use Cloudflare, Vercel, or AWS CloudFront","high","Global performance, server cost","Geographic performance test","Implement CDN"
AP019,"Caching","No cache headers on API responses","Duplicate requests, wasted bandwidth","Set appropriate Cache-Control headers","medium","Performance, bandwidth","Network analysis, curl -I","Add cache headers"
AP020,"Caching","Cache without invalidation strategy","Stale data, user confusion","Implement cache tags, webhooks, or TTL","high","Data freshness","User complaints, data audit","Add invalidation logic"
AP021,"Caching","No service worker for offline","No offline support, poor PWA","Implement service worker with workbox","low","Offline capability","PWA audit, offline test","Add service worker"
AP022,"Monitoring","No error tracking in production","Blind to user-facing errors","Implement Sentry or similar","critical","Unknown issues","Error discovery delay","Add error monitoring"
AP023,"Monitoring","No performance monitoring","Blind to performance degradation","Implement RUM, Lighthouse CI","high","Performance regression","User complaints, slow trend","Add performance monitoring"
AP024,"Monitoring","No alerting","Late issue detection","Set up alerts for error rate, performance","high","Issue detection delay","Post-mortem analysis","Configure alerts"
AP025,"Architecture","Monolithic frontend for large app","Hard to scale, slow builds, tight coupling","Consider micro-frontends or modular architecture","medium","Scalability, build time","Build time analysis, team velocity","Evaluate modular approach"
AP026,"Architecture","No separation of concerns","Hard to maintain, test, and reason about","Apply Clean Architecture, separate layers","medium","Maintainability","Code review, complexity metrics","Refactor to layers"
AP027,"Architecture","Feature-agnostic folder structure","Hard to find related code, coupling","Use feature-based folder structure","low","Maintainability","Navigation analysis","Reorganize by feature"
AP028,"Architecture","No typed API layer","Runtime errors, poor DX","Implement typed API client with TypeScript","medium","Type safety, DX","Type errors, API mismatches","Add typed layer"
AP029,"Architecture","Mixed rendering without strategy","Inconsistent behavior, complexity","Document and plan hybrid architecture strategy","medium","Complexity, bugs","Architecture review","Document strategy"
AP030,"Architecture","No fallback for SSR failures","Users see errors, poor UX","Implement error boundaries, fallback pages","medium","Error handling","Error scenarios","Add fallbacks"
