id,page_type,primary_rendering,alternative_rendering,seo_priority,realtime_need,auth_required,cache_strategy,example_pages,implementation_tips
PC001,"Landing Page","SSG","ISR","critical","none","no","CDN cache max-age=31536000","Homepage, Marketing pages, Product launches","Pre-build and deploy to CDN, use ISR for A/B testing"
PC002,"Blog Post","SSG","ISR","critical","none","no","CDN cache with revalidation","Article pages, News posts, Tutorials","Use MDX for rich content, ISR for scheduled publishing"
PC003,"Documentation","SSG","none","critical","none","no","CDN cache immutable","Docs pages, API references, Guides","Use versioned docs, search indexing"
PC004,"Product List","ISR","SSG","high","low","no","stale-while-revalidate 60s","Category pages, Search results, Collections","Paginate for performance, cache popular queries"
PC005,"Product Detail","SSR","ISR","high","medium","no","private cache-control","Product pages, Item details, Pricing pages","Use SSR for dynamic pricing, ISR for stable content"
PC006,"Shopping Cart","CSR","none","none","high","yes","CDN skip, API cache","Cart page, Wishlist, Compare","Sync with server, optimistic updates"
PC007,"Checkout","CSR","none","none","high","yes","no cache, secure session","Checkout flow, Payment, Order confirmation","Use secure tokens, no caching"
PC008,"User Dashboard","CSR","none","none","high","yes","no cache, real-time","Analytics dashboard, User home, Activity","Use WebSockets for real-time data"
PC009,"User Profile","CSR","none","none","medium","yes","private cache","Profile settings, Account details, Preferences","Fetch on mount, debounce saves"
PC010,"Admin Panel","CSR","none","none","high","yes","no cache, real-time","Admin dashboard, User management, Settings","Role-based access, real-time updates"
PC011,"Search Results","SSR","ISR","medium","low","no","cache popular queries","Search page, Filter results, Query results","Cache common searches, SSR for unique queries"
PC012,"Auth Pages","SSG","none","medium","none","partial","no cache for security","Login, Register, Forgot password, Reset","Use SSR for CSRF tokens"
PC013,"Error Pages","SSG","none","low","none","no","CDN cache","404, 500, Error boundary","Pre-generate static error pages"
PC014,"Legal Pages","SSG","none","medium","none","no","CDN cache max-age=86400","Privacy Policy, Terms, Cookie Policy","Static content, update manually"
PC015,"About Page","SSG","none","medium","none","no","CDN cache","About us, Team, Company info","Static content, update on changes"
PC016,"Contact Page","SSG","SSR","medium","none","no","CDN for static parts","Contact form, Support, Help center","SSG for page, CSR for form submission"
PC017,"Pricing Page","SSG","ISR","high","low","no","CDN cache with revalidation","Pricing plans, Subscriptions, Packages","Use ISR if prices change dynamically"
PC018,"Features Page","SSG","none","high","none","no","CDN cache","Feature showcase, Capabilities, Benefits","Static marketing content"
PC019,"API Documentation","SSG","none","high","none","no","CDN cache immutable","API docs, SDK references, Integration guides","Versioned documentation"
PC020,"Community Forum","Hybrid","none","high","medium","partial","ISR for threads, CSR for posts","Forum threads, Discussions, Q&A","ISR for reading, CSR for posting"
PC021,"Real-time Feed","CSR","none","low","high","partial","no cache, WebSocket","Social feed, Activity stream, Notifications","Infinite scroll, optimistic updates"
PC022,"Booking Flow","Hybrid","none","medium","high","yes","SSR for availability, CSR for booking","Hotel booking, Event tickets, Appointments","Check availability server-side"
PC023,"Map Interface","CSR","none","low","medium","no","cache map tiles","Store locator, Property map, Route planner","Lazy load map library"
PC024,"Calculator Tool","CSR","SSR","low","none","no","no cache needed","Mortgage calculator, Price estimator, Converter","Client-side calculations"
PC025,"Media Player","CSR","none","low","high","partial","no cache for position","Video player, Audio player, Gallery","Stream content, save progress"
