id,page_type,rendering_pattern,component_pattern,state_management,data_fetching,routing,performance_tips,common_mistakes,best_practices
VV001,"SPA Dashboard","CSR","Composition API","Pinia + TanStack Query","useFetch / useQuery","Vue Router","Lazy components","Options API for complex","Use script setup"
VV002,"SPA Admin Panel","CSR","Feature-based","Pinia + TanStack Query","useMutation","Vue Router","Virtual tables","Not using computed","Use defineStore"
VV003,"SPA E-commerce","CSR","SFC components","Pinia (cart) + Query","useQuery","Vue Router","Lazy routes","Not using Suspense","Use useHead for SEO"
VV004,"SPA Social App","CSR","Composition API","Pinia + WebSocket","useQuery + WS","Vue Router","Infinite scroll","Not using Teleport","Use useInfiniteScroll"
VV005,"SPA Form-heavy App","CSR","VeeValidate forms","VeeValidate + Pinia","useMutation","Vue Router","Debounce validation","Manual validation","Use vee-validate + zod"
VV006,"SPA Real-time App","CSR","Custom composables","Pinia + WebSocket","useWebSocket","Vue Router","Optimistic updates","Not cleanup watchers","Use watchEffect carefully"
VV007,"SPA Analytics","CSR","Chart components","Pinia + Query","useQuery polling","Vue Router","Memoize with computed","Not using shallowRef","Use shallowRef for large data"
VV008,"SPA Media App","CSR","Lazy components","Pinia + Query","useInfiniteQuery","Vue Router","Virtual scrolling","Loading all items","Use vue-virtual-scroller"
VV009,"SPA Chat App","CSR","Message components","Pinia + WebSocket","WebSocket + cache","Vue Router","Virtual list","Not using keys","Use v-for with :key"
VV010,"SPA Kanban","CSR","Drag components","Pinia for board","useMutation","Vue Router","useTransition","Blocking main thread","Use vuedraggable"
VV011,"SPA Editor","CSR","Controlled inputs","Pinia + history","Auto-save","Vue Router","useModel","Too many reactivity","Use shallowRef for content"
VV012,"SPA Calendar","CSR","Date components","Pinia + Query","useQuery events","Vue Router","Memoize dates","Not virtualizing","Use v-calendar"
VV013,"SPA Maps","CSR","Map wrappers","Pinia for markers","useQuery","Vue Router","Lazy load map","Not handling resize","Use vue-maplibre"
VV014,"SPA Search","CSR","Search components","URL + Query","useQuery debounced","Vue Router","Debounce input","Not syncing URL","Use useRoute for filters"
VV015,"SPA Notifications","CSR","Toast components","Pinia for queue","useMutation","Vue Router","Batch toasts","Not limiting","Use vue-sonner"
VV016,"SPA Settings","CSR","Form components","VeeValidate + Pinia","useMutation","Vue Router","Debounce save","Not optimistic","Show save status"
VV017,"SPA Profile","CSR","Profile components","Query + Pinia","useQuery + Mutation","Vue Router","Optimistic updates","Not handling upload","Use vue-dropzone"
VV018,"SPA Auth","CSR","Auth composable","Pinia + Composable","useMutation","Vue Router","httpOnly cookies","Token in state","Use secure cookies"
VV019,"SPA Error Boundary","CSR","ErrorBoundary component","N/A","N/A","N/A","Multiple boundaries","Not catching","Use onErrorCaptured"
VV020,"SPA Modals","CSR","Teleport components","Pinia for state","N/A","N/A","Use Teleport","Not using Teleport","Use headlessui-vue"
VV021,"SPA Tables","CSR","Table components","Query + Virtual","useQuery pagination","Vue Router","Use virtual","Not virtualizing","Use tanstack-virtual"
VV022,"SPA Trees","CSR","Tree components","Pinia selection","useQuery","Vue Router","Virtualize large","Not memoizing","Use vue3-tree"
VV023,"SPA Charts","CSR","Chart wrapper","Query","useQuery","Vue Router","Use vue-echarts","Not memoizing","Use computed for data"
VV024,"SPA Multi-step","CSR","Wizard components","Pinia step state","useMutation","Vue Router","URL for step","Not persisting","Use form wizard"
VV025,"SPA Offline","CSR","Service worker","IndexedDB + Pinia","Offline queue","Vue Router","Use workbox","Not handling sync","Use offline-first"
