id,state_type,recommended_tool,alternative_tools,use_case,anti_patterns,best_practices,example_scenarios
SP001,"Local Component State","useState, useReducer","signals (Preact), $state (Svelte)","Component-only state that doesn't need sharing","Prop drilling, lifting state unnecessarily","Keep state close to where it's used, use for UI-only state","Form input values, toggle states, modal open/close"
SP002,"Global UI State","Zustand, Jotai","Redux Toolkit, Recoil, Pinia","App-wide UI state like theme, sidebar, notifications","Using server state tools for UI state, Redux for simple state","Use selectors, slice state by feature, persist selectively","Dark mode, sidebar state, toast notifications, modals"
SP003,"Server Cache State","TanStack Query, SWR","RTK Query, urql","API data that needs caching, refetching, optimistic updates","Storing API data in Redux/local state, no cache strategy","Use query keys, implement stale-while-revalidate, optimistic updates","User data, product listings, search results, paginated data"
SP004,"Form State","React Hook Form, Formik","TanStack Form, Final Form","Complex form handling with validation","useState for each field, no validation library","Use schema validation (Zod), debounced submission, dirty state tracking","Multi-step forms, complex validation, file uploads"
SP005,"URL State","URL params, searchParams","React Router, Next.js router","State that should be shareable/bookmarkable","Storing filters in local state, ignoring URL","Sync with URL, use for filters, pagination, search queries","Search filters, pagination, sort order, modal state"
SP006,"Persistent State","LocalStorage, IndexedDB","localStorage hook, Dexie.js, IndexedDB","State that survives page refresh","Storing sensitive data locally, no size limits","Encrypt sensitive data, handle quota, sync with server","User preferences, offline data, draft content"
SP007,"Session State","SessionStorage, Memory","In-memory cache","Temporary state for current session","Using for long-term storage, not clearing on logout","Clear on logout, use for temporary data","Multi-step wizard, temporary selections"
SP008,"Derived State","useMemo, computed","selectors, derived stores","Computed values from other state","Recalculating unnecessarily, storing duplicates","Memoize expensive calculations, use selectors","Filtered lists, totals, formatted data"
SP009,"Async State","TanStack Query, use","SWR, RTK Query","Loading, error, success states for async operations","Manual loading states everywhere, no error handling","Use built-in states, implement retry logic, handle edge cases","API calls, data fetching, mutations"
SP010,"Authentication State","Auth context + TanStack Query","NextAuth, Clerk, custom hook","User session, auth tokens, permissions","Storing tokens in Redux, no refresh logic","Use httpOnly cookies, implement refresh, clear on logout","User session, login status, permissions"
SP011,"Theme State","Zustand persist, CSS variables","localStorage, next-themes","Dark/light mode, theme preferences","Not persisting, flash of wrong theme","Use CSS variables, persist preference, prevent flash","Dark mode toggle, theme selection"
SP012,"Navigation State","React Router state, Next.js router","URL params, context","Current route, navigation history","Storing route in Redux, not using router","Use router for navigation, URL for shareable state","Active tab, current page, breadcrumbs"
SP013,"Draft/Undo State","useImmer, history array","Undo library, state machine","Content editing with undo/redo","No undo capability, losing drafts","Implement undo stack, auto-save drafts","Form editing, content editor, drawing app"
SP014,"Real-time State","WebSocket + TanStack Query","Socket.io, Supabase Realtime","Live updates, collaborative features","Polling when WebSocket available, no reconnection","Use subscriptions, handle reconnection, optimistic updates","Chat, live data, collaborative editing"
SP015,"Optimistic State","TanStack Query optimistic","Manual state update","Immediate UI update before server confirmation","No rollback on error, not updating cache","Implement rollback, update cache immediately","Like button, form submission, toggles"
SP016,"Pagination State","TanStack Query, URL params","Manual pagination state","Large data sets with pagination","Loading all data, not caching pages","Use infinite scroll, cache pages, sync with URL","Product listings, search results, feeds"
SP017,"Selection State","Local state or URL","Context for shared selection","Multi-select, single select, bulk actions","Storing entire objects instead of IDs","Store IDs, derive selected items, clear on action","Table selection, bulk operations, filters"
SP018,"Timer/Interval State","useRef + useEffect","useInterval hook, timer library","Countdowns, timers, polling","State for interval ID, memory leaks","Cleanup on unmount, use refs for IDs","Countdown timer, auto-refresh, polling"
SP019,"Drag and Drop State","dnd-kit, react-beautiful-dnd","Local state for position","Draggable items, sortable lists","Not using dedicated library, complex manual state","Use established libraries, handle reordering","Sortable lists, kanban boards, drag-drop"
SP020,"Error State","Error boundary + TanStack Query","try-catch, error context","Global and local error handling","Silent failures, no error boundaries","Use error boundaries, log errors, show user feedback","API errors, component errors, validation errors"
